goos: linux
goarch: amd64
pkg: github.com/yourusername/bolt/benchmarks
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkRouter_ManyRoutes_DynamicLookup-8   	 2228304	       536.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter_ManyRoutes_DynamicLookup-8   	 2059394	       555.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter_ManyRoutes_DynamicLookup-8   	 2106591	       544.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter_WildcardRoute-8              	 1000000	      1047 ns/op	     483 B/op	       7 allocs/op
BenchmarkRouter_WildcardRoute-8              	 1349556	       918.5 ns/op	     483 B/op	       7 allocs/op
BenchmarkRouter_WildcardRoute-8              	 1233775	       925.6 ns/op	     483 B/op	       7 allocs/op
BenchmarkRouter_WildcardRoute-8              	 1202908	      1034 ns/op	     483 B/op	       7 allocs/op
BenchmarkRouter_WildcardRoute-8              	 1292710	       885.2 ns/op	     483 B/op	       7 allocs/op
BenchmarkRouter_MixedRoutes/Static-8         	 4671858	       286.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkRouter_MixedRoutes/Static-8         	 4036759	       291.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkRouter_MixedRoutes/Static-8         	 4525150	       291.2 ns/op	      32 B/op	       2 allocs/op
BenchmarkRouter_MixedRoutes/Static-8         	 4359960	       275.0 ns/op	      32 B/op	       2 allocs/op
BenchmarkRouter_MixedRoutes/Static-8         	 4679160	       264.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkRouter_MixedRoutes/Dynamic-8        	 3091545	       395.1 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Dynamic-8        	 2884892	       381.0 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Dynamic-8        	 3153634	       419.1 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Dynamic-8        	 3027939	       392.0 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Dynamic-8        	 3164318	       382.9 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Nested-8         	 2862660	       433.9 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Nested-8         	 2895426	       439.3 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Nested-8         	 2730585	       421.3 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Nested-8         	 2699436	       459.3 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Nested-8         	 2807830	       444.0 ns/op	      37 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Wildcard-8       	 3176101	       402.4 ns/op	      56 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Wildcard-8       	 2950224	       410.9 ns/op	      56 B/op	       4 allocs/op
BenchmarkRouter_MixedRoutes/Wildcard-8       	 3037612	       386.1 ns/op	      56 B/op	       4 allocs/op
